ID,INGREDIENTES,PRECIO,COMENTARIOS,MATERIA_SECA_(%),HUMEDAD_(%),CENIZAS_(%),PB_(%),EE_(%),EE_VERD_(%),FB_(%),FND_(%),FAD_(%),LAD_(%),ALMIDON_(%),AZUCARES_(%),SUMA_(%),C14:0_(%),C16:0_(%),C16:1_(%),C18:0_(%),C18:1_(%),C18:2_(%),C18:3_(%),C>20_(%),Ca_(%),P_(%),Pftico_(%),Pdisp_AVES_(%),Pdig_AVES_(%),Pdig_PORC_(%),Na_(%),Cl_(%),Mg_(%),K_(%),S_(%),Cu_(ppm),Fe_(ppm),Mn_(ppm),Zn_(ppm),Vit_E_(ppm),Biotina_(ppm),Colina_(ppm),EM_RTES_(Kcal_kg),UFL_(UF_kg),UFC_(UF_kg),ENL_RTES_(Kcal_kg),ENM_RTES_(Kcal_kg),ENC_RTES_(Kcal_kg),ALM_SOLUBLE_(%),ALM_DEGRAD_(%),ED_PORC_(Kcal_kg),EM_PORC_(Kcal_kg),EN_PORC_(Kcal_kg),EN_CERDAS_(Kcal_kg),EMA_POLLIT_(Kcal_kg),EMA_AVES _(Kcal_kg),ED_CONEJOS_(Kcal_kg),ED_CABALLO_(Kcal_kg),PBDIG_RUM_(%),PBDIG_PORC_(%),PBDIG_AVES_(%),PBDIG_CON_(%),PBDIG_CAB_(%),PDIA_(%),PDIE_(%),PDIN_(%),LYS_(%PDIE),MET_(%PDIE),LYS_(%),MET_(%),M+C_(%),THR_(%),TRP_(%),ILE_(%),VAL_(%),ARG_(%),GLYeq_(%),LYS_DIA_(%),MET_DIA_(%),M+C_DIA_(%),THR_DIA_(%),TRP_DIA_(%),ILE_DIA_(%),VAL_DIA_(%),ARG_DIA_(%),GLYeq_DIA_(%),LYS_DIS_(%),MET_DIS_(%),M+C_DIS_(%),THR_DIS_(%),TRP_DIS_(%),ILE_DIS_(%),VAL_DIS_(%),ARG_DIS_(%),GLYeq_DIS_(%),LYS_DR_(%),MET_DR_(%),M+C_DR_(%),THR_DR_(%),TRP_DR_(%),ILE_DR_(%),VAL_DR_(%),ARG_DR_(%),GLYeq_DR_(%)
87,HNA.SOJA 47,,,88.2,11.8,6.3,47.0,1.7,1.2,4.6,9.5,5.4,0.3,0.0,6.7,83,0,0.13,0,0.05,0.26,0.64,0.1,0,0.33,0.67,0.43,0.24,0.27,0.25,0.02,0.04,0.27,2.2,0.47,14,130,36,48,3.7,0.32,2740,2800,1.04,1.04,1815,1930,1330,.,.,3610,3210,2005,2155,2030,2350,3515,3700,42.8,40.9,41.4,40,40,17.3,22.5,33.9,6.9,1.5,2.87,0.66,1.38,1.83,0.63,2.13,2.27,3.43,3.69,2.55,0.59,1.17,1.54,0.54,1.85,1.96,3.19,3.14,2.58,0.61,1.23,1.59,0.56,1.89,2.02,3.26,3.25,2.55,0.59,1.19,1.58,0.54,1.89,2.05,3.12,3.14
88,HNA.SOJA 48.5,,,88.2,11.8,6.3,48.5,1.7,1.2,3.9,8.2,4.5,0.3,0.5,6.7,83.7,0,0.13,0,0.05,0.26,0.64,0.1,0,0.33,0.68,0.44,0.24,0.28,0.26,0.03,0.05,0.29,2.05,0.42,14,130,36,48,3.7,0.32,2750,2810,1.04,1.04,1820,1940,1335,.,.,3660,3245,2030,2170,2145,2440,3570,3730,44.1,42.7,43.2,41.2,41.2,17.9,23.1,35,6.9,1.6,2.96,0.68,1.44,1.89,0.65,2.21,2.38,3.54,3.81,2.66,0.62,1.24,1.61,0.57,1.95,2.07,3.33,3.27,2.69,0.63,1.3,1.66,0.59,1.99,2.14,3.36,3.39,2.66,0.62,1.25,1.64,0.56,1.95,2.16,3.26,3.27
89,HNA.SOJA 51 MICRONIZADA,,,91.1,8.9,6.7,51.4,1.9,1.3,3.5,7.6,4.6,0.2,0.5,6.0,83,0,0.15,0,0.05,0.29,0.72,0.11,0.01,0.3,0.77,0.51,0.26,0.36,0.33,0.03,0.04,0.28,2.35,0.5,12,100,35,60,4,0.35,2700,2980,1.1,1.11,1930,2060,1420,.,.,3830,3385,2120,2225,2230,2530,3880,.,47.3,45.7,45.2,44.7,44.7,19,24.5,37.1,6.9,1.6,3.19,0.75,1.53,2.05,0.7,2.36,2.53,3.75,4.03,2.93,0.69,1.35,1.78,0.62,2.13,2.25,3.56,3.51,2.96,0.7,1.39,1.83,0.64,2.15,2.3,3.56,3.63,2.9,0.69,1.35,1.8,0.61,2.08,2.3,3.53,3.51
90,VEZA COMUN,,,90.0,10,3.5,26.5,1.7,1.3,6.5,14.3,8.2,1.4,37.4,4.3,97.7,0.01,0.21,0,0.04,0.24,0.55,0.14,0.03,0.12,0.41,0.24,0.11,0.16,0.12,0.05,0.08,0.14,0.84,0.16,8,64,.,.,7.5,0.19,670,2860,1.06,1.07,1850,1970,1360,11.2,25.4,3250,3040,2140,2250,2340,2540,3400,3510,23.3,19.3,18.6,21.7,21.5,5,10,16.9,7.2,1.5,1.59,0.21,0.53,0.93,0.29,1.01,1.38,1.75,1.96,0.87,0.15,0.37,0.61,0.2,0.7,0.98,1.26,1.18,0.92,0.16,0.39,0.65,0.21,0.74,1.01,1.29,1.26,1.19,0.17,0.4,0.67,0.21,0.8,1.1,1.4,1.02
91,YEROS,,,91.6,8.4,3.2,22.0,0.9,0.7,5.0,11.5,7.0,1.0,41.4,1.3,88.7,0,0.11,0,0.02,0.13,0.29,0.07,0.01,0.2,0.45,.,0.1,.,.,0.02,0.02,0.1,0.94,0.2,7,120,14,18,7.5,0.19,670,2875,1.07,1.08,1860,1985,1360,12,25.7,.,.,.,.,,.,2500,2600,18.5,.,.,.,.,5,9.9,13.7,7.1,1.6,1.5,0.22,0.42,0.84,0.24,0.95,1.01,1.43,1.69,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
92,CONC.PROTEINA SOJA-EXTR.,,,93.0,7,6.1,65.0,1.0,0.7,3.9,8.5,5.8,0.1,0.3,0.6,88.5,0,0.07,0,0.03,0.14,0.35,0.05,0,0.28,0.77,0.51,0.26,0.33,0.3,0.02,0.12,0.31,2.17,0.55,14.1,110,35,40,1,0.25,2400,3100,1.14,1.15,2020,2150,1500,.,.,4155,3555,2140,2235,2680,2820,4150,.,61.8,59.2,58.5,59.2,59.2,13.9,19.8,43,7.1,1.6,4.12,0.95,1.92,2.6,0.85,3.06,3.25,5.07,5.37,3.71,0.86,1.67,2.31,0.74,2.75,2.89,4.77,4.62,3.76,0.87,1.71,2.37,0.76,2.8,2.92,4.77,4.78,3.71,0.87,1.69,2.31,0.74,2.81,2.93,4.66,4.62
93,CONC.PROTEINA SOJA-FERM.,,,92.0,8,6.7,53.8,1.5,1,4.0,9.0,5.9,0.1,0.2,0.4,79.6,0,0.11,0,0.04,0.21,0.53,0.08,0,0.13,0.65,0.4,0.25,0.27,0.25,0.01,0.08,0.1,0.9,0.7,14,130,25,30,1,0.3,1300,3030,1.12,1.13,1970,2100,1460,.,.,3880,3410,2110,2215,2020,2435,.,.,51.1,49,48.4,47.3,47.3,11.5,17.5,35.6,7,1.6,3.2,0.75,1.56,2.1,0.7,2.42,2.58,3.9,4.44,2.88,0.68,1.36,1.85,0.62,2.18,2.3,3.67,3.82,2.95,0.69,1.39,1.91,0.63,2.23,2.31,3.67,3.96,2.91,0.7,1.37,1.85,0.62,2.2,2.31,3.59,3.82
94,AISLADO PROTEINA SOJA,,,93.4,6.6,3.2,87.0,0.5,0.3,0.2,0.5,0.0,0.0,0.0,0.0,97.8,0,0.04,0,0.01,0.07,0.18,0.03,0,0.13,0.65,0.4,0.25,0.27,0.25,0.01,0.08,0.1,0.9,0.7,14,130,25,30,1,0.3,1300,.,.,.,.,.,.,.,.,4700,3820,2210,2230,3480,3630,.,.,85.3,80.9,79.2,80.9,80.9,3.7,11.2,51.6,7.5,1.9,5.39,1.31,2.7,3.48,1.13,4,4.35,6.96,7.19,4.91,1.19,2.37,3.1,0.96,3.64,3.87,6.4,6.25,4.96,1.2,2.4,3.13,0.97,3.68,3.92,6.47,6.47,5.02,1.23,2.45,3.2,1.03,3.72,4,6.4,6.25
95,CONC. PROTEINA GUISANTE,,,92.5,7.5,5,51.5,2.1,1.6,3.3,8.7,4.7,0.6,13.5,7.0,95.3,0.01,0.19,0,0.05,0.38,0.77,0.17,0.02,0.15,0.78,0.38,0.33,0.31,0.33,0.04,0.12,0.1,0.8,0.18,8,100,10,40,14,0.35,700,2980,1.07,1.07,1935,2060,1420,.,.,3930,3480,2240,2280,2750,3015,.,.,45.8,44.8,45.8,44.3,43.3,6.7,13.2,32.1,7.7,1.6,3.73,0.5,1.21,1.91,0.45,2.27,2.47,3.97,4.02,3.17,0.4,0.85,1.43,0.31,1.88,1.98,3.49,3.37,3.25,0.41,0.93,1.51,0.34,1.9,2,3.65,3.53,3.44,0.45,1,1.67,0.39,2.04,2.32,3.53,3.37
96,AISLADO PROTEINA GUISANTE,,,91.5,8.5,4,76.4,5.5,5,1.0,1.5,1.3,0.1,0.5,2.0,98.4,0,0.5,0.22,0,1.39,2.43,0.4,0,0.2,0.9,.,.,.,0.45,0.08,0.2,0.1,0.6,0.2,8,100,8,36,17,0.35,800,.,.,.,.,.,.,.,.,4520,3760,2300,2320,3735,3825,.,.,.,68.8,72.6,.,.,3.7,11.2,51.6,7.5,1.9,5.58,0.74,1.54,2.75,0.73,3.79,3.87,6.19,5.96,4.85,0.61,1.18,2.23,0.58,3.18,3.29,5.63,5.12,4.96,0.63,1.24,2.37,0.62,3.26,3.32,5.76,5.3,5.13,0.67,1.27,2.39,0.62,3.41,3.63,5.51,5.12
97,PROTEINA DE PATATA,,,92.5,7.5,2.4,79.0,2.0,1.4,1.1,3.0,1.3,0.3,1.0,0.7,95.6,0.01,0.27,0.01,0.07,0.02,0.52,0.24,0.02,0.2,0.3,0.08,0.22,0.16,0.17,0.03,0.18,0.05,0.73,0.31,20,190,5,25,.,.,.,3000,1.08,1.09,1950,2080,1450,.,.,4575,3780,2250,2260,3340,3480,.,.,70.3,72.7,71.1,71.1,71.1,50,52.5,62.6,7.7,2,6.04,1.74,2.84,4.5,1.07,4.35,5.14,4.03,7.62,5.38,1.56,2.39,3.74,0.84,3.82,4.47,3.63,6.48,5.44,1.58,2.42,3.83,0.85,3.87,4.52,3.71,6.71,5.44,1.6,2.47,4.05,0.94,3.87,4.62,3.75,6.48
98,CONC. PROTEINA ARROZ,,,91.4,8.6,3.9,65.6,6.0,5.6,2.0,8.8,3.0,0.1,3.2,2.0,98.1,0,0.95,0,0.11,2.34,2.12,0.06,0,0.45,0.77,.,.,.,0.7,0.04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4330,3685,2320,2340,3280,3385,.,.,60.4,57.7,59,57.1,56.4,.,.,.,.,.,2.49,1.83,2.85,2.4,0.66,2.67,3.73,5.18,5.39,2.07,1.56,2.36,1.92,0.56,2.32,3.18,4.56,4.58,2.27,1.78,2.65,2.16,0.63,2.56,3.51,4.82,4.75,.,.,.,.,.,.,.,.,0
99,PROT. TRIGO HIDROLIZADO,,,92.5,7.5,1,78.0,4.3,3.7,0.5,2.0,0.7,0.2,5.5,1.0,99.3,0,0.69,0.05,0.55,2.08,0.21,0,0,0.09,0.2,0.1,0.1,0.07,0.06,0.03,0.06,0.1,0.17,0.79,10,45,25,35,25,0.05,1180,3350,1.22,1.23,2210,2340,1675,.,.,4835,4005,2475,2485,3590,3790,.,.,74.1,73.3,70.2,74.1,.,4.1,11.4,46.5,6.3,1.9,1.34,1.26,2.96,1.99,0.73,2.94,3.28,2.77,5.41,1.26,1.24,2.9,1.91,0.71,2.85,3.14,2.71,4.76,1.29,1.25,2.93,1.95,0.72,2.88,3.21,2.71,4.92,1.27,1.24,2.9,1.91,0.72,2.88,3.14,2.69,4.76
100,LEVADURA CERVEZA,,,91.8,8.2,7,46.0,2.0,1.6,2.4,6.5,3.5,0.8,5.0,2.5,77.2,.,.,.,.,.,.,.,.,0.22,1.31,0.24,1.07,0.72,0.7,0.1,0.15,0.22,1.6,0.45,36,200,20,52,6,0.8,3600,2710,0.99,0.98,1740,1860,1250,.,.,3630,3260,2100,2150,2130,2400,3600,3720,38.2,39.1,36.3,37.7,37.3,8.7,14.8,29.3,7.4,1.7,3.08,0.66,1.14,2.09,0.58,2.07,2.21,2.07,4.44,2.34,0.46,0.7,1.36,0.35,1.49,1.46,1.61,3.33,2.43,0.5,0.81,1.55,0.39,1.59,1.63,1.64,3.47,2.47,0.47,0.7,1.42,0.33,1.49,1.55,1.61,3.42
101,ALFALFA EN RAMA DESH.,,,90.0,10,9.8,20.0,1.8,0.9,21.9,35.0,24.4,6.7,0.0,11.0,87.6,0,0.24,0,0.03,0.08,0.2,0.3,0.05,1.7,0.23,0.01,0.22,0.18,0.17,0.08,0.03,0.27,1.65,0.25,8,300,40,20,120,0.42,1500,2025,0.71,0.65,1260,1365,850,.,.,2015,1895,1060,1190,900,1090,2070,2180,14,10.8,11.6,11.2,11.6,3.8,8.1,12.4,6.7,1.8,0.91,0.3,0.54,0.83,0.3,0.8,1.03,0.84,1.55,0.48,0.2,0.25,0.46,0.15,0.49,0.59,0.52,0.88,0.52,0.21,0.29,0.51,0.16,0.52,0.64,0.56,0.96,0.51,0.21,0.3,0.49,0.15,0.51,0.63,0.5,1.04
102,ALFALFA HENIF. GRANULADA (17.5%PB),,,90.5,9.5,10.1,17.5,1.7,0.9,24.3,37.9,28.8,7.2,0.0,10.8,87.5,0,0.23,0,0.03,0.07,0.19,0.28,0.05,1.65,0.22,0.01,0.21,0.18,0.16,0.08,0.03,0.25,1.75,0.24,10,360,38,26,105,0.4,1480,1980,0.69,0.63,1225,1330,825,.,.,1900,1800,980,1100,820,1000,1900,2030,11.7,8.8,9.8,9.3,9.6,3.4,7.7,10.9,6.8,1.8,0.75,0.27,0.43,0.72,0.24,0.69,0.88,0.72,1.35,0.4,0.18,0.2,0.4,0.12,0.43,0.51,0.44,0.73,0.44,0.19,0.23,0.45,0.13,0.46,0.55,0.48,0.8,0.44,0.19,0.25,0.45,0.14,0.44,0.55,0.43,0.84
103,ALFALFA HENIF. GRANULADA (15%PB),,,91.1,8.9,10.4,15.0,1.6,0.8,26.6,42.6,31.5,8.2,0.0,9.7,88.2,0,0.22,0,0.03,0.07,0.18,0.26,0.04,1.6,0.2,0.02,0.18,0.16,0.15,0.07,0.03,0.24,1.85,0.23,10,390,38,25,70,0.37,1450,1925,0.67,0.61,1190,1290,795,.,.,1760,1670,880,1025,725,900,1650,1800,9.9,7.2,8.1,7.5,7.8,3.4,7.8,9.4,6.7,1.8,0.63,0.21,0.36,0.6,0.23,0.58,0.73,0.6,1.16,0.29,0.14,0.16,0.32,0.11,0.35,0.42,0.36,0.59,0.33,0.15,0.19,0.37,0.12,0.38,0.45,0.33,0.66,0.35,0.14,0.2,0.35,0.12,0.37,0.45,0.35,0.66
104,HARINA FORRAJERA MEZCLA (12.5%PB),,,91.6,8.4,10.7,12.5,1.5,0.8,29.0,47.2,33.2,8.8,0.0,8.5,88.8,0,0.2,0,0.03,0.06,0.17,0.25,0.04,2.0,0.18,0.07,0.11,0.14,0.13,0.06,0.04,0.22,2,0.27,12,480,37,22,30,0.32,1180,1870,0.64,0.58,1150,1250,765,.,.,1560,1485,740,910,585,740,1400,1500,7.5,5.6,5.6,6,6.3,3.4,7.7,7.9,6.6,1.7,0.51,0.14,0.28,0.45,0.15,0.48,0.6,0.5,0.97,0.22,0.08,0.11,0.23,0.07,0.28,0.32,0.28,0.46,0.25,0.09,0.14,0.26,0.08,0.3,0.36,0.31,0.53,0.25,0.09,0.14,0.26,0.07,0.29,0.35,0.27,0.5
105,CASCARA DE ALGODON,,,91.4,8.6,3,6.3,3.1,2,47.0,77.6,63.2,18.1,0.0,0.0,98.6,0.02,0.47,0.02,0.04,0.37,1,0,0.02,0.14,0.11,0.08,0.02,0.03,0.02,0.02,0.02,0.13,0.85,0.08,12,90,17,40,3,0.15,400,1450,0.47,0.37,875,955,550,.,.,490,469,.,.,.,-,350,500,2.2,0.6,1.1,1.6,1.9,1.9,4.2,3.3,6.5,1.8,0.24,0.09,0.21,0.2,0.08,0.2,0.28,0.62,.,0.05,0.02,0.07,0.05,0.02,0.05,0.06,0.14,.,0.07,0.03,0.08,0.08,0.04,0.09,0.11,0.22,.,0.04,0.02,0.06,0.04,0.02,0.05,0.06,0.14,.
106,CASCARILLA ARROZ,,,90.7,9.3,13.4,2.6,1.5,0.9,45.9,72.1,47.0,15.1,1.1,0.0,100,0,0.19,0,0.02,0.36,0.33,0,0,0.12,0.3,0.26,0.04,0.03,0.04,0.02,0.09,0.1,0.37,0.15,1,50,400,40,.,.,.,1360,0.45,0.37,820,900,515,.,.,710,680,120,340,,340,450,750,1,0.3,0.4,0.7,0.7,1.1,2.9,2,6,2.2,0.07,0.07,0.12,0.08,0.07,0.12,0.16,0.17,0.2,0.02,0.02,0.04,0.02,0.02,0.03,0.04,0.05,0.04,0.03,0.03,0.05,0.03,0.03,0.05,0.07,0.09,0.07,.,.,.,.,.,.,.,.,.
107,CASCARILLA AVENA,,,90.0,10,3.7,3.8,1.4,0.8,29.6,67.0,36.9,6.2,10.4,1.4,97.7,0,0.16,0,0.01,0.29,0.33,0.02,0,0.09,0.14,0.1,0.03,0.04,0.04,0.03,0.11,0.05,0.47,0.22,8,180,48,90,.,.,225,1750,0.59,0.52,1070,1170,705,.,.,1500,1440,800,950,450,700,1170,1550,1.5,1.1,0.6,1.1,1,0.7,4.1,2.3,7.5,2,0.16,0.06,0.14,0.15,0.05,0.14,0.19,0.25,0.32,0.06,0.02,0.03,0.05,0.01,0.05,0.08,0.1,0.04,0.08,0.03,0.06,0.08,0.02,0.07,0.12,0.13,0.12,0.04,0.02,0.02,0.04,0.01,0.04,0.06,0.07,.
108,CASCARILLA GIRASOL,,,91.4,8.6,3.3,5.7,3.0,1.8,48.7,72.2,57.0,20.1,0.5,0.7,94,0.01,0.13,0.01,0.07,0.4,1.17,0.01,0.01,0.4,0.2,0.18,0.04,0.04,0.04,0.05,0.1,0.16,1.05,0.2,35,430,32,90,.,.,100,1320,0.42,0.32,795,875,495,.,.,1030,980,250,450,235,380,1100,1200,3.3,1.7,0.6,2.2,1.8,1.7,3.2,3,5.9,1.9,0.17,0.1,0.17,0.18,0.05,.,0.27,0.46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
109,CASCARILLA HABA CABALLAR,,,89.6,10.4,2.5,9.5,0.7,0.5,43.6,58.9,50.7,4.0,7.7,0.2,89.9,0,0.07,0,0.02,0.14,0.26,0.02,0.01,0.39,0.15,0.09,0.06,0.07,0.06,0.05,0.07,0.16,1.14,0.22,12,30,10,38,4,0.09,1660,2400,0.87,0.84,1520,1635,1070,2.8,5.9,1840,1750,830,1200,.,530,1600,1900,4.3,2.9,1.4,3.8,4.1,2.9,10.9,5.8,6.5,1.1,0.59,0.07,0.19,0.32,.,0.36,0.42,0.81,1.05,0.35,0.04,0.1,0.16,.,0.18,0.22,0.56,0.52,0.39,0.04,0.11,0.19,.,0.23,0.25,0.6,0.55,0.32,0.03,0.1,0.16,.,0.2,0.21,0.53,0.52
110,CASCARILLA SOJA 10%PB,,,88.3,11.7,4.5,10.0,2.0,1.8,36.0,59.3,42.8,1.9,0.0,1.5,89,0,0.2,0,0.07,0.4,0.97,0.14,0,0.5,0.15,0.07,0.08,0.05,0.06,0.03,0.03,0.22,1.22,0.11,10,520,20,43,3,.,400,2450,0.89,0.86,1560,1670,1105,.,.,2200,2090,1140,1510,360,520,1720,2575,6.4,4,3,4.5,4.6,3.2,9,6.2,7.5,1.8,0.63,0.12,0.3,0.36,0.12,0.37,0.44,0.53,1.15,0.34,0.08,0.18,0.19,0.06,0.22,0.24,0.41,0.61,0.36,0.08,0.19,0.22,0.08,0.24,0.27,0.44,0.69,0.41,0.08,0.15,0.18,0.07,0.24,0.31,0.36,0.67
111,CASCARILLA SOJA 12%PB,,,88.8,11.2,4.6,12.0,2.4,2.2,34.3,57.1,41.2,1.8,0.0,1.5,88.8,0,0.24,0,0.09,0.48,1.17,0.17,0,0.5,0.15,0.07,0.08,0.05,0.06,0.03,0.03,0.22,1.22,0.11,10,520,20,43,3,.,400,2470,0.89,0.86,1575,1690,1120,.,.,2230,2110,1160,1530,400,580,1745,2600,7.7,5,3.6,5.4,5.5,3.8,9.5,7.5,7.5,1.8,0.75,0.14,0.36,0.43,0.14,0.44,0.53,0.63,1.38,0.41,0.09,0.21,0.23,0.08,0.27,0.29,0.49,0.73,0.44,0.1,0.23,0.26,0.09,0.29,0.33,0.52,0.83,0.5,0.1,0.19,0.21,0.09,0.28,0.37,0.44,0.8
112,GARROFA,,,85.0,15,2.7,4.5,0.7,.,7.5,35.0,31.5,21.0,1.0,35.0,93.9,.,.,.,.,.,.,.,.,0.45,0.11,0.08,0.03,.,0.02,0.03,0.16,0.07,0.75,0.05,3,60,8,6,.,.,.,2050,0.74,0.7,1285,1390,880,.,.,1980,1930,1320,1420,,.,2200,2450,2.5,1.6,1.1,1.9,1.8,1.2,6.3,2.6,7.3,2.1,0.16,0.1,0.16,0.15,0.08,0.18,0.36,0.13,0.29,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0,0.07,0.04,0.07,0.06,0.03,0.09,0.16,0.1,0.1
113,HOJA DE OLIVO,,,91.3,8.7,10.9,8.4,5.0,1.5,19.3,43.0,30.8,18.7,0.0,9.0,85,0.04,0.31,0,0.05,0.36,0.24,0.51,0,1.1,0.09,0.01,0.03,.,0.01,0.14,0.45,0.2,0.76,0.24,15,900,26,20,.,.,.,1000,0.32,0.24,590,650,350,.,.,860,830,430,550,,.,870,950,1.8,0.4,.,0.7,.,2.4,4.1,3.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#ÁVALOR!
114,PULPA ACEITUNA INTEGRAL,,,93.2,6.8,8.3,9.6,16.2,15.4,22.0,35.6,22.7,12.1,0.0,9.7,86.2,0,1.72,0,0.44,10.4,1.58,0.16,0.35,1.0,0.2,.,.,.,.,0.09,0.5,0.1,1.3,.,35,1400,35,20,.,.,.,1720,0.58,0.49,1050,1150,680,.,.,2240,2160,1515,1680,,.,2350,.,5.4,3.6,.,4.3,.,2.4,3.7,4.2,7.3,1.6,0.63,0.14,0.24,0.39,.,0.45,1.03,0.74,0.91,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0
115,PULPA ACEITUNA PARC. DESENGRASADA,,,93.7,6.3,9,9.9,11.9,10.9,23.5,36.7,24.7,13.1,0.0,10.0,83.8,0,1.22,0,0.31,7.4,1.12,0.11,0.25,1.0,0.2,.,.,.,.,0.09,0.5,0.1,1.3,.,35,1400,35,20,.,.,.,1440,0.46,0.38,860,950,540,.,.,1885,1820,1190,1340,,.,1800,.,4,3.4,.,4.3,4,2.4,3.6,4.3,7.2,1.6,0.65,0.14,0.24,0.4,.,0.46,1.06,0.77,0.94,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0
116,ORUJO ACEITUNA EXTRACTADO,,,89.7,10.3,8.8,10.9,0.5,0.4,33.1,59.4,41.4,20.7,0.0,0.8,90.7,0.01,0.03,0,0.01,0.15,0.03,0.01,0.04,1.0,0.2,.,.,.,.,0.09,0.5,0.1,1.3,.,35,1400,35,20,.,.,.,790,0.24,0.15,460,510,270,.,.,750,710,130,220,,.,800,890,5.5,3.6,.,3.9,.,2.7,3.6,4.8,7.1,1.5,0.71,0.15,0.27,0.44,.,0.51,1.17,0.84,1.03,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0
117,GRANILLA DE UVA ENTERA,,,91.8,8.2,2.9,9.3,11.1,10,41.4,67.0,57.0,42.9,0.0,1.1,99.6,0,0.8,0,0.4,1.9,6.69,0,0,0.69,0.18,0.14,0.04,.,0.02,0.01,0.01,0.1,0.45,0.19,20,120,21,15,4,.,170,930,0.28,0.17,550,605,325,.,.,1150,1090,480,570,,.,1000,1100,1.9,0.9,.,1.4,1.4,0.9,1.2,0.9,5.7,1.7,0.38,0.16,0.35,0.19,0.09,0.38,0.47,0.61,0.69,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0
118,HNA EXTRACCION GRANILLA UVA ,,,88.6,11.4,4.5,11.1,1.0,0.8,43.2,68.6,60.6,46.5,0.0,1.0,97.6,0,0.06,0,0.03,0.15,0.54,0,0,0.77,0.23,0.15,0.07,.,0.03,0.01,0.01,0.1,0.55,0.19,20,120,21,15,2,.,60,520,0.15,0.07,300,335,170,.,.,815,770,80,120,,.,820,900,2.2,1.1,.,1.7,1.7,1,1.7,1.1,6.1,1.8,0.46,0.19,0.42,0.22,0.11,0.46,0.57,0.73,0.82,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0
119,ORUJO UVA,,,91.8,8.2,5.8,11.2,7.5,7.1,32.5,57.1,50.5,31.5,0.0,3.0,92.8,0,0.53,0,0.29,1.35,4.81,0,0,0.7,0.15,0.1,0.05,.,0.02,0.05,0.01,0.1,1.13,0.33,65,185,.,.,.,.,88,1100,0.35,0.24,650,720,400,.,.,1170,1110,520,610,,.,900,990,2.8,1.7,.,1.1,1.7,1.6,1.6,1.9,4,1.1,0.46,0.17,0.35,0.31,0.08,0.49,0.88,0.96,0.93,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0
120,PAJA DE CEREALES,,,91.4,8.6,6.9,4.6,0.9,0.2,35.0,71.1,45.7,8.4,1.6,0.0,93.7,.,.,.,.,.,.,.,.,0.45,0.09,0,0.09,0.02,0.02,0.06,0.4,0.09,1,0.14,3,180,37,16,.,.,.,1260,0.41,0.3,755,835,470,.,.,900,860,280,360,,.,820,900,0.2,0,.,0,0,2.3,4.7,2.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
121,PAJA TRATADA CON SOSA,,,91.8,8.2,9.1,3.6,1.5,0.6,37.1,70.2,44.4,7.4,0.7,1.3,94.6,.,.,.,.,.,.,.,.,0.28,0.09,0,0.04,.,0.02,1.76,0.39,0.1,1.7,0.13,3.8,180,37,16,.,.,.,1740,0.58,0.52,1065,1160,700,.,.,980,940,320,440,,.,870,.,0.2,0,.,0,0,1.7,5.3,2.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
122,PAJA DE LENTEJA,,,90.0,10,10.1,6.0,1.0,0.5,43.0,60.0,45.0,10.3,0.0,1.0,88.1,.,.,.,.,.,.,.,.,2.7,0.07,0,0.01,.,0.01,0.15,0.4,0.12,1.35,0.12,5,180,.,.,.,.,.,1340,0.45,0.36,805,880,500,.,.,1035,995,290,370,,.,600,800,2.5,0.2,.,1.2,1.8,2.4,5.5,3.7,6.5,1.9,0.21,0.1,0.18,0.28,0.02,0.25,0.28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
